ID,flock_number,birth_year,palpation_before,body_development,CUT_before,DIB_placement,DIB_extraction,reproduction_type,reproduction_execution,palpation_after,CUT_after,reproduction_released,brood_sex,DIB_placement_count,DIB_extraction_count,success_insemination_count,fail_insemination_count,success_natural_count,fail_natural_count,pregnant_after_insemination_count,empty_after_insemination_count,pregnant_after_natural_count,empty_after_natural_count
1,5,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,07/10/2015,M,0,0,0,0,0,0,0,0,0,0
2,9,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,29/09/2015,H,0,0,0,0,0,0,0,0,0,0
3,35,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,07/10/2015,M,0,0,0,0,0,0,0,0,0,0
4,38,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,11/10/2015,M,0,0,0,0,0,0,0,0,0,0
5,49,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
6,83,2010,Vacia,NULL,NULL,11/12/2014,NULL,Inseminacion,20/12/2014,Preñada,NULL,28/10/2015,H,0,0,0,0,0,0,0,0,0,0
7,104,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,19/10/2015,M,0,0,0,0,0,0,0,0,0,0
8,182,2010,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
9,187,2010,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,21/10/2015,H,0,0,0,0,0,0,0,0,0,0
10,206,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,09/10/2015,H,0,0,0,0,0,0,0,0,0,0
11,258,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
12,260,2010,Sin Tacto,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
13,268,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
14,310,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
15,320,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
16,324,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
17,572,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,26/09/2015,H,0,0,0,0,0,0,0,0,0,0
18,585,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
19,922,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,10/10/2015,H,0,0,0,0,0,0,0,0,0,0
20,953,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
21,1001,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
22,2096,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,03/10/2015,H,0,0,0,0,0,0,0,0,0,0
23,2214,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
24,2234,2012,Vacia,2,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
25,2324,2012,Vacia,3,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
26,2338,2012,Vacia,2,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
27,2347,2012,Vacia,2,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
28,2359,2012,Vacia,2,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
29,2402,2012,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,26/10/2015,NULL,0,0,0,0,0,0,0,0,0,0
30,2407,2012,Vacia,2,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
31,4015,2004,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,28/09/2015,NULL,0,0,0,0,0,0,0,0,0,0
32,4591,2004,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
33,4661,2004,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
34,5023,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
35,5024,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
36,5033,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,08/10/2015,M,0,0,0,0,0,0,0,0,0,0
37,5044,2005,Sin Tacto,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,28/09/2015,H,0,0,0,0,0,0,0,0,0,0
38,5131,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,27/09/2015,H,0,0,0,0,0,0,0,0,0,0
39,5175,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
40,5212,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
41,5356,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
42,5430,2005,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
43,5562,2005,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
44,5609,2005,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
45,5623,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,02/10/2015,H,0,0,0,0,0,0,0,0,0,0
46,5815,2005,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,24/09/2015,H,0,0,0,0,0,0,0,0,0,0
47,6019,2006,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
48,6059,2006,Sin Tacto,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
49,6123,2006,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,28/10/2015,H,0,0,0,0,0,0,0,0,0,0
50,6180,2006,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
51,6270,2006,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
52,6389,2006,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,13/10/2015,M,0,0,0,0,0,0,0,0,0,0
53,6684,2006,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,29/09/2015,H,0,0,0,0,0,0,0,0,0,0
54,7032,2007,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,25/09/2015,M,0,0,0,0,0,0,0,0,0,0
55,7034,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,13/10/2015,M,0,0,0,0,0,0,0,0,0,0
56,7039,2007,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,18/10/2015,H,0,0,0,0,0,0,0,0,0,0
57,7048,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
58,7057,2007,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,26/09/2015,H,0,0,0,0,0,0,0,0,0,0
59,7067,2007,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
60,7070,2007,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
61,7100,2007,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
62,7124,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
63,7126,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
64,7128,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
65,7139,2007,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,22/10/2015,H,0,0,0,0,0,0,0,0,0,0
66,7205,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,30/10/2015,H,0,0,0,0,0,0,0,0,0,0
67,7254,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
68,7463,2007,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
69,8087,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
70,8137,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
71,8190,2008,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
72,8209,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,06/10/2015,H,0,0,0,0,0,0,0,0,0,0
74,8225,2008,Sin Tacto,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,19/10/2015,M,1,1,0,0,0,0,0,0,0,0
75,8225,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,1,1,0,0,0,0,0,0,0,0
76,8247,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,25/10/2015,H,0,0,0,0,0,0,0,0,0,0
77,8256,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,19/10/2015,H,0,0,0,0,0,0,0,0,0,0
78,8336,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
79,8411,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
80,8439,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
81,8452,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
82,8511,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
83,8523,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
84,8558,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,03/10/2015,M,0,0,0,0,0,0,0,0,0,0
85,8568,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
86,8581,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
87,8602,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,17/10/2015,M,0,0,0,0,0,0,0,0,0,0
88,8999,2008,Sin Tacto,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
89,9057,2009,Vacia,NULL,NULL,11/12/2014,NULL,Inseminacion,20/12/2014,Preñada,NULL,20/10/2015,H,0,0,0,0,0,0,0,0,0,0
90,9082,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,25/09/2015,H,0,0,0,0,0,0,0,0,0,0
91,9147,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
92,9187,2009,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
93,9192,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,24/09/2015,H,0,0,0,0,0,0,0,0,0,0
94,9248,2009,Vacia,NULL,NULL,11/12/2014,NULL,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
95,9314,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
96,9331,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,23/10/2015,H,0,0,0,0,0,0,0,0,0,0
97,9345,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,05/10/2015,M,0,0,0,0,0,0,0,0,0,0
98,9349,2009,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Preñada,NULL,19/10/2015,M,0,0,0,0,0,0,0,0,0,0
99,60508,2005,Vacia,NULL,NULL,NULL,NULL,Natural,01/09/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
100,164,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,18/10/2015,H,0,0,0,0,0,0,0,0,0,0
101,311,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
102,9307,2009,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Preñada,NULL,16/10/2015,M,0,0,0,0,0,0,0,0,0,0
103,46,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,23/10/2015,M,0,0,0,0,0,0,0,0,0,0
104,2233,2012,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,09/10/2015,M,0,0,0,0,0,0,0,0,0,0
105,332,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
106,8124,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,26/09/2015,H,0,0,0,0,0,0,0,0,0,0
107,41,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
108,9129,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
109,1064,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
110,2051,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,29/10/2015,M,0,0,0,0,0,0,0,0,0,0
111,2168,2012,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,16/10/2015,H,0,0,0,0,0,0,0,0,0,0
112,8566,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,12/10/2015,M,0,0,0,0,0,0,0,0,0,0
113,8582,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,04/10/2015,M,0,0,0,0,0,0,0,0,0,0
114,9031,2009,Vacia,NULL,NULL,11/12/2014,NULL,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
116,39,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,15/10/2015,H,0,0,0,0,0,0,0,0,0,0
117,81,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
118,192,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,23/10/2015,M,0,0,0,0,0,0,0,0,0,0
119,218,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
120,249,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,04/10/2015,M,0,0,0,0,0,0,0,0,0,0
121,264,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
122,296,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
123,333,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,24/09/2015,M,0,0,0,0,0,0,0,0,0,0
124,1006,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,25/09/2015,M,0,0,0,0,0,0,0,0,0,0
125,1065,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,26/10/2015,H,0,0,0,0,0,0,0,0,0,0
126,2103,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,21/10/2015,H,0,0,0,0,0,0,0,0,0,0
127,2110,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,31/10/2015,H,0,0,0,0,0,0,0,0,0,0
128,2179,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,22/09/2015,H,0,0,0,0,0,0,0,0,0,0
129,2273,2012,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,11/10/2015,M,0,0,0,0,0,0,0,0,0,0
130,2372,2012,Vacia,1,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,26/09/2015,M,0,0,0,0,0,0,0,0,0,0
131,2385,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,23/09/2015,M,0,0,0,0,0,0,0,0,0,0
132,9261,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,13/10/2015,H,0,0,0,0,0,0,0,0,0,0
133,9289,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,28/09/2015,H,0,0,0,0,0,0,0,0,0,0
134,1,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,24/10/2015,M,0,0,0,0,0,0,0,0,0,0
135,136,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,21/09/2015,H,0,0,0,0,0,0,0,0,0,0
136,153,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,26/09/2015,H,0,0,0,0,0,0,0,0,0,0
137,166,2010,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
138,230,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
139,234,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,09/10/2015,H,0,0,0,0,0,0,0,0,0,0
140,240,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,08/10/2015,M,0,0,0,0,0,0,0,0,0,0
141,244,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,01/10/2015,H,0,0,0,0,0,0,0,0,0,0
142,266,2010,Sin Tacto,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,05/10/2015,M,0,0,0,0,0,0,0,0,0,0
143,293,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
144,306,2010,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,30/10/2015,H,0,0,0,0,0,0,0,0,0,0
145,1007,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
146,1011,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
147,1015,2011,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
148,1019,2011,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
149,1034,2011,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
150,2074,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,04/10/2015,H,0,0,0,0,0,0,0,0,0,0
151,2189,2012,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
152,2203,2012,Vacia,2,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
153,2302,2012,Vacia,3,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
154,2360,2012,Vacia,3,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
155,8116,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
156,9071,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
157,9196,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,17/10/2015,H,0,0,0,0,0,0,0,0,0,0
158,9372,2009,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,25/09/2015,H,0,0,0,0,0,0,0,0,0,0
159,8074,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,21/10/2015,H,0,0,0,0,0,0,0,0,0,0
160,8081,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Preñada,NULL,16/10/2015,M,0,0,0,0,0,0,0,0,0,0
161,8114,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Preñada,NULL,12/10/2015,M,0,0,0,0,0,0,0,0,0,0
162,8132,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
163,8283,2008,Vacia,NULL,NULL,NULL,NULL,Natural,01/12/2014,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
164,8543,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,16/10/2015,H,0,0,0,0,0,0,0,0,0,0
165,6101,2006,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
166,8063,2008,Vacia,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
167,8107,2008,Sin Tacto,NULL,NULL,11/12/2014,18/12/2014,Inseminacion,20/12/2014,Preñada,NULL,03/10/2015,H,0,0,0,0,0,0,0,0,0,0
